Scheme,Category,State,Year,Budget_Crore,Beneficiaries_Lakhs,Growth_Percent,Utilization_Percent,Impact_Score,Citizen_Satisfaction,Infrastructure_Score,Digital_Access_Percent,Budget_Per_Beneficiary,Efficiency_Score
PM Kisan Samman Nidhi,Agriculture,Kerala,2023,8564.89,381.45,29.85,65.31,249.12,93.0,84.07,43.3,22.45,162.7
PM Kisan Samman Nidhi,Agriculture,Kerala,2024,9710.59,190.56,43.14,66.89,127.47,46.93,41.68,67.14,50.96,85.26
PM Kisan Samman Nidhi,Agriculture,Kerala,2025,7489.72,373.27,35.93,51.03,190.48,66.08,81.69,77.61,20.07,97.2
PM Kisan Samman Nidhi,Agriculture,Kerala,2026,9024.51,231.06,33.61,88.72,205.0,49.2,52.74,61.35,39.06,181.88
PM Kisan Samman Nidhi,Agriculture,Uttar Pradesh,2022,8174.41,178.35,4.43,86.32,153.95,53.04,69.91,27.43,45.83,132.89
PM Kisan Samman Nidhi,Agriculture,Uttar Pradesh,2023,10228.75,129.19,74.78,63.23,81.69,42.5,65.04,96.49,79.18,51.65
PM Kisan Samman Nidhi,Agriculture,Uttar Pradesh,2024,7891.24,381.48,75.2,50.86,194.02,55.56,46.16,68.01,20.69,98.68
PM Kisan Samman Nidhi,Agriculture,Uttar Pradesh,2025,5571.87,281.72,7.01,94.53,266.31,94.26,39.48,92.15,19.78,251.74
PM Kisan Samman Nidhi,Agriculture,Uttar Pradesh,2026,7820.55,205.19,-2.46,85.69,175.83,88.04,90.7,47.24,38.11,150.67
PM Kisan Samman Nidhi,Agriculture,Bihar,2022,10144.44,421.77,78.25,80.49,339.48,40.35,85.57,68.1,24.05,273.25
PM Kisan Samman Nidhi,Agriculture,Bihar,2023,10451.86,178.26,47.62,84.56,150.74,60.92,62.25,96.61,58.63,127.47
PM Kisan Samman Nidhi,Agriculture,Bihar,2024,9821.36,164.6,14.49,72.45,119.25,87.06,43.47,99.77,59.67,86.4
PM Kisan Samman Nidhi,Agriculture,Bihar,2025,7215.58,404.98,70.75,68.77,278.5,55.4,94.71,88.51,17.82,191.52
PM Kisan Samman Nidhi,Agriculture,Bihar,2026,7182.72,43.89,21.63,95.41,41.88,69.16,72.38,24.39,163.65,39.96
PM Kisan Samman Nidhi,Agriculture,Rajasthan,2022,7205.73,297.12,21.87,73.28,217.73,84.4,79.44,39.41,24.25,159.55
PM Kisan Samman Nidhi,Agriculture,Rajasthan,2023,7562.6,422.02,45.65,67.2,283.6,95.03,61.88,66.0,17.92,190.58
PM Kisan Samman Nidhi,Agriculture,Rajasthan,2024,10191.38,175.22,-0.61,56.17,98.42,64.83,64.75,30.55,58.16,55.28
PM Kisan Samman Nidhi,Agriculture,Rajasthan,2025,8056.23,240.45,43.77,66.29,159.39,61.45,95.92,67.82,33.5,105.66
PM Kisan Samman Nidhi,Agriculture,Rajasthan,2026,5287.93,257.02,76.83,80.07,205.8,94.83,79.4,92.07,20.57,164.78
PM Kisan Samman Nidhi,Agriculture,Gujarat,2022,5187.67,367.62,15.48,94.39,347.0,90.55,49.96,99.63,14.11,327.53
PM Kisan Samman Nidhi,Agriculture,Gujarat,2023,7079.36,31.27,-3.83,83.69,26.17,51.5,48.86,33.27,226.39,21.9
PM Kisan Samman Nidhi,Agriculture,Gujarat,2024,9165.4,270.3,12.47,74.99,202.7,90.82,45.69,62.22,33.91,152.0
PM Kisan Samman Nidhi,Agriculture,Gujarat,2025,5679.13,310.3,45.17,90.37,280.42,70.2,94.55,70.84,18.3,253.42
PM Kisan Samman Nidhi,Agriculture,Gujarat,2026,7270.67,400.91,35.37,53.01,212.52,65.09,75.79,61.38,18.14,112.66
PM Kisan Samman Nidhi,Agriculture,Punjab,2022,5957.74,75.93,78.66,98.85,75.06,96.4,47.11,36.65,78.46,74.2
PM Kisan Samman Nidhi,Agriculture,Punjab,2023,7332.68,22.67,32.1,66.1,14.98,41.74,94.73,39.72,323.45,9.9
PM Kisan Samman Nidhi,Agriculture,Punjab,2024,9991.75,427.92,57.89,96.36,412.34,57.64,49.78,71.44,23.35,397.33
PM Kisan Samman Nidhi,Agriculture,Punjab,2025,6898.76,262.59,62.38,89.3,234.49,67.02,59.0,60.84,26.27,209.4
PM Kisan Samman Nidhi,Agriculture,Punjab,2026,10175.03,201.43,12.01,53.85,108.47,92.44,90.79,42.94,50.51,58.41
PM Kisan Samman Nidhi,Agriculture,West Bengal,2022,7728.95,363.03,4.62,56.1,203.66,93.74,54.7,69.17,21.29,114.25
PM Kisan Samman Nidhi,Agriculture,West Bengal,2023,7560.45,182.97,27.65,69.53,127.22,42.74,65.6,90.82,41.32,88.46
PM Kisan Samman Nidhi,Agriculture,West Bengal,2024,5633.05,335.57,61.25,89.03,298.76,51.95,56.9,53.5,16.79,265.99
PM Kisan Samman Nidhi,Agriculture,West Bengal,2025,9934.37,78.88,72.65,58.13,45.85,86.05,53.17,27.86,125.94,26.65
PM Kisan Samman Nidhi,Agriculture,West Bengal,2026,6316.75,220.8,13.07,70.23,155.07,43.27,38.01,75.66,28.61,108.91
PM Kisan Samman Nidhi,Agriculture,Madhya Pradesh,2022,5850.31,30.18,34.55,90.6,27.34,51.97,46.74,82.78,193.85,24.77
PM Kisan Samman Nidhi,Agriculture,Madhya Pradesh,2023,6990.37,80.07,55.77,64.58,51.71,78.81,54.19,38.31,87.3,33.39
PM Kisan Samman Nidhi,Agriculture,Madhya Pradesh,2024,5446.01,279.58,4.93,62.48,174.68,53.6,69.01,20.06,19.48,109.14
PM Kisan Samman Nidhi,Agriculture,Madhya Pradesh,2025,9981.48,448.38,52.67,93.89,420.98,71.5,94.13,98.12,22.26,395.26
PM Kisan Samman Nidhi,Agriculture,Madhya Pradesh,2026,8166.72,191.6,6.72,70.84,135.73,41.93,50.25,45.08,42.62,96.15
PM Kisan Samman Nidhi,Agriculture,Odisha,2022,9743.47,402.23,40.57,50.14,201.68,57.06,56.5,34.69,24.22,101.12
PM Kisan Samman Nidhi,Agriculture,Odisha,2023,6903.3,431.45,61.01,97.83,422.09,70.97,57.94,74.27,16.0,412.93
PM Kisan Samman Nidhi,Agriculture,Odisha,2024,6165.98,363.93,33.46,74.04,269.45,77.9,68.7,63.57,16.94,199.5
PM Kisan Samman Nidhi,Agriculture,Odisha,2025,7242.63,137.58,-2.2,95.69,131.65,76.27,41.29,35.41,52.64,125.98
PM Kisan Samman Nidhi,Agriculture,Odisha,2026,6123.72,76.83,59.3,55.07,42.31,47.03,94.0,48.89,79.7,23.3
PM Kisan Samman Nidhi,Agriculture,Assam,2022,10145.37,186.96,17.69,54.64,102.15,55.08,85.47,89.13,54.26,55.81
PM Kisan Samman Nidhi,Agriculture,Assam,2023,8777.95,69.27,77.47,64.34,44.57,86.46,90.65,98.63,126.72,28.68
PM Kisan Samman Nidhi,Agriculture,Assam,2024,6808.48,478.81,-4.52,91.94,440.22,75.92,95.26,55.28,14.22,404.74
PM Kisan Samman Nidhi,Agriculture,Assam,2025,7247.96,464.89,75.54,97.15,451.64,50.46,93.31,50.99,15.59,438.77
PM Kisan Samman Nidhi,Agriculture,Assam,2026,7397.13,127.59,-4.62,70.86,90.41,86.57,35.87,62.89,57.98,64.06
PM Kisan Samman Nidhi,Agriculture,Telangana,2022,7429.84,390.92,30.11,65.28,255.19,90.68,38.54,65.52,19.01,166.59
PM Kisan Samman Nidhi,Agriculture,Telangana,2023,6575.67,36.24,55.73,85.72,31.06,90.75,51.8,63.79,181.45,26.62
PM Kisan Samman Nidhi,Agriculture,Telangana,2024,8753.62,496.6,54.9,65.41,324.83,91.05,44.0,36.96,17.63,212.47
PM Kisan Samman Nidhi,Agriculture,Telangana,2025,5358.45,42.17,66.92,98.57,41.57,49.87,33.31,37.79,127.07,40.98
PM Kisan Samman Nidhi,Agriculture,Telangana,2026,9675.44,230.0,81.86,70.04,161.09,81.66,90.32,76.89,42.07,112.83
PM Kisan Samman Nidhi,Agriculture,Andhra Pradesh,2022,10278.88,46.56,69.78,60.81,28.31,65.48,95.72,94.07,220.77,17.22
PM Kisan Samman Nidhi,Agriculture,Andhra Pradesh,2023,8971.01,112.03,-1.79,92.77,103.93,70.47,98.47,24.06,80.08,96.42
PM Kisan Samman Nidhi,Agriculture,Andhra Pradesh,2024,7377.44,368.31,37.52,69.22,254.94,78.39,75.0,52.38,20.03,176.47
PM Kisan Samman Nidhi,Agriculture,Andhra Pradesh,2025,7470.2,343.35,2.86,60.8,208.76,78.08,75.08,82.56,21.76,126.93
PM Kisan Samman Nidhi,Agriculture,Andhra Pradesh,2026,8750.95,157.96,40.91,85.29,134.72,56.45,89.12,62.68,55.4,114.9
Crop Insurance Scheme,Agriculture,Karnataka,2022,113773.91,54.9,71.94,50.12,27.52,73.66,79.65,61.58,2072.38,13.79
Crop Insurance Scheme,Agriculture,Karnataka,2023,93551.69,335.29,4.1,95.52,320.27,54.28,85.9,64.1,279.02,305.92
Crop Insurance Scheme,Agriculture,Karnataka,2024,58755.32,155.17,62.76,68.67,106.56,82.93,88.34,81.09,378.65,73.17
Crop Insurance Scheme,Agriculture,Karnataka,2025,118137.95,329.61,82.37,59.93,197.54,42.3,33.67,27.75,358.42,118.39
Crop Insurance Scheme,Agriculture,Karnataka,2026,106149.49,379.64,54.7,95.21,361.46,96.66,73.26,38.52,279.61,344.15
Crop Insurance Scheme,Agriculture,Maharashtra,2022,80481.01,76.54,56.17,54.97,42.07,94.32,95.32,80.48,1051.49,23.13
Crop Insurance Scheme,Agriculture,Maharashtra,2023,110894.87,399.9,39.78,65.77,263.01,75.07,89.09,82.83,277.31,172.98
Crop Insurance Scheme,Agriculture,Maharashtra,2024,112027.46,327.81,19.07,83.8,274.7,50.23,37.15,77.02,341.75,230.2
Crop Insurance Scheme,Agriculture,Maharashtra,2025,60183.48,262.73,64.64,68.45,179.84,42.35,40.3,71.92,229.07,123.1
Crop Insurance Scheme,Agriculture,Maharashtra,2026,98988.37,205.71,67.83,88.57,182.2,91.08,65.6,72.32,481.2,161.37
Crop Insurance Scheme,Agriculture,Tamil Nadu,2022,104293.3,248.09,55.17,73.53,182.42,56.05,99.1,60.39,420.38,134.13
Crop Insurance Scheme,Agriculture,Tamil Nadu,2023,83858.56,42.78,62.19,93.95,40.19,62.99,33.31,54.35,1960.23,37.76
Crop Insurance Scheme,Agriculture,Tamil Nadu,2024,82489.18,53.24,24.46,73.19,38.97,46.48,79.96,48.21,1549.38,28.52
Crop Insurance Scheme,Agriculture,Tamil Nadu,2025,76594.0,126.77,58.03,84.75,107.44,93.46,63.33,81.49,604.2,91.06
Crop Insurance Scheme,Agriculture,Tamil Nadu,2026,93047.58,177.16,16.02,59.23,104.93,77.9,44.16,74.17,525.22,62.15
Crop Insurance Scheme,Agriculture,Kerala,2022,85706.4,323.28,-3.72,97.3,314.55,93.89,48.84,94.81,265.12,306.06
Crop Insurance Scheme,Agriculture,Kerala,2023,90336.59,340.33,26.14,89.75,305.45,46.85,39.0,61.37,265.44,274.14
Crop Insurance Scheme,Agriculture,Kerala,2024,93743.63,262.55,30.97,74.98,196.86,86.32,42.84,38.31,357.05,147.61
Crop Insurance Scheme,Agriculture,Kerala,2025,99756.23,371.18,5.53,53.66,199.18,69.56,56.29,35.68,268.75,106.88
Crop Insurance Scheme,Agriculture,Kerala,2026,62446.6,69.31,10.74,54.12,37.51,43.79,87.27,72.37,900.98,20.3
Crop Insurance Scheme,Agriculture,Uttar Pradesh,2022,84455.34,367.89,80.46,85.73,315.39,64.05,36.57,43.93,229.57,270.38
Crop Insurance Scheme,Agriculture,Uttar Pradesh,2023,88074.02,194.45,70.97,66.62,129.54,60.25,53.32,34.83,452.94,86.3
Crop Insurance Scheme,Agriculture,Uttar Pradesh,2024,58602.74,202.0,23.92,91.26,184.35,86.62,52.13,42.96,290.11,168.24
Crop Insurance Scheme,Agriculture,Uttar Pradesh,2025,76561.85,241.13,15.38,87.71,211.5,42.0,62.96,32.46,317.51,185.51
Crop Insurance Scheme,Agriculture,Uttar Pradesh,2026,77198.7,353.12,45.23,92.44,326.42,92.82,41.39,57.08,218.62,301.74
Crop Insurance Scheme,Agriculture,Bihar,2022,105331.99,243.25,35.22,90.37,219.83,55.64,80.38,43.47,433.02,198.66
Crop Insurance Scheme,Agriculture,Bihar,2023,96893.43,434.51,83.5,95.32,414.17,75.42,52.55,65.3,222.99,394.79
Crop Insurance Scheme,Agriculture,Bihar,2024,94525.45,73.37,64.68,58.05,42.59,64.14,65.65,74.17,1288.34,24.72
Crop Insurance Scheme,Agriculture,Bihar,2025,73674.39,125.18,21.15,95.42,119.45,53.77,78.83,84.64,588.55,113.98
Crop Insurance Scheme,Agriculture,Bihar,2026,116909.61,295.79,44.29,68.41,202.35,80.26,95.61,99.08,395.25,138.43
Crop Insurance Scheme,Agriculture,Rajasthan,2022,78064.4,298.07,7.58,98.35,293.15,57.65,40.81,56.33,261.9,288.31
Crop Insurance Scheme,Agriculture,Rajasthan,2023,94780.44,310.5,12.66,59.56,184.93,74.46,82.51,44.73,305.25,110.14
Crop Insurance Scheme,Agriculture,Rajasthan,2024,113492.02,103.99,35.26,59.05,61.41,84.76,73.59,84.12,1091.37,36.26
Crop Insurance Scheme,Agriculture,Rajasthan,2025,76929.51,59.28,-1.28,60.78,36.03,50.14,62.33,33.76,1297.73,21.9
Crop Insurance Scheme,Agriculture,Rajasthan,2026,117119.21,266.85,49.54,61.85,165.05,45.92,92.37,39.0,438.9,102.08
Crop Insurance Scheme,Agriculture,Gujarat,2022,75768.76,230.78,6.51,68.44,157.95,63.19,31.58,59.0,328.32,108.1
Crop Insurance Scheme,Agriculture,Gujarat,2023,83517.44,365.51,9.38,78.47,286.82,51.16,50.96,73.76,228.5,225.07
Crop Insurance Scheme,Agriculture,Gujarat,2024,83997.85,81.67,56.15,85.12,69.52,85.91,41.12,33.49,1028.5,59.18
Crop Insurance Scheme,Agriculture,Gujarat,2025,87529.03,374.98,3.5,81.41,305.27,80.65,64.92,81.29,233.42,248.52
Crop Insurance Scheme,Agriculture,Gujarat,2026,113733.52,208.53,44.73,90.03,187.74,85.99,60.23,77.44,545.41,169.02
Crop Insurance Scheme,Agriculture,Punjab,2022,110142.4,397.38,17.63,64.85,257.7,53.69,40.6,36.34,277.17,167.12
Crop Insurance Scheme,Agriculture,Punjab,2023,68610.1,333.48,75.64,70.5,235.1,57.54,64.18,34.84,205.74,165.75
Crop Insurance Scheme,Agriculture,Punjab,2024,76770.72,45.3,44.01,54.79,24.82,66.15,31.71,41.21,1694.72,13.6
Crop Insurance Scheme,Agriculture,Punjab,2025,64753.31,408.05,60.88,92.53,377.57,46.75,64.65,99.27,158.69,349.37
Crop Insurance Scheme,Agriculture,Punjab,2026,79809.59,70.97,82.71,98.0,69.55,80.73,48.72,62.16,1124.55,68.16
Crop Insurance Scheme,Agriculture,West Bengal,2022,63296.55,325.52,26.21,91.69,298.47,65.95,40.54,39.22,194.45,273.67
Crop Insurance Scheme,Agriculture,West Bengal,2023,96730.11,172.85,59.9,87.79,151.75,87.33,77.27,39.51,559.62,133.22
Crop Insurance Scheme,Agriculture,West Bengal,2024,106372.31,192.23,9.49,99.67,191.6,61.24,91.6,81.43,553.36,190.97
Crop Insurance Scheme,Agriculture,West Bengal,2025,89734.68,222.08,53.71,85.34,189.52,53.4,63.23,73.91,404.06,161.74
Crop Insurance Scheme,Agriculture,West Bengal,2026,71028.58,481.8,25.95,90.3,435.07,75.47,97.87,20.3,147.42,392.87
Crop Insurance Scheme,Agriculture,Madhya Pradesh,2022,85544.3,232.53,55.12,61.87,143.87,55.05,86.24,34.59,367.89,89.01
Crop Insurance Scheme,Agriculture,Madhya Pradesh,2023,68129.66,387.21,77.16,62.1,240.46,47.27,75.1,82.66,175.95,149.33
Crop Insurance Scheme,Agriculture,Madhya Pradesh,2024,90500.3,37.58,45.7,62.98,23.67,85.32,76.24,83.5,2408.2,14.91
Crop Insurance Scheme,Agriculture,Madhya Pradesh,2025,61552.55,372.88,34.43,82.46,307.48,91.81,93.6,33.44,165.07,253.55
Crop Insurance Scheme,Agriculture,Madhya Pradesh,2026,82551.17,470.93,36.15,87.16,410.46,75.91,33.88,31.86,175.29,357.76
Crop Insurance Scheme,Agriculture,Odisha,2022,104079.04,122.24,41.58,52.04,63.61,89.78,88.68,93.01,851.43,33.1
Crop Insurance Scheme,Agriculture,Odisha,2023,79853.54,424.14,80.3,61.11,259.19,79.94,34.62,60.84,188.27,158.39
Crop Insurance Scheme,Agriculture,Odisha,2024,87867.53,273.39,39.69,81.91,223.93,51.12,86.04,84.46,321.4,183.42
Crop Insurance Scheme,Agriculture,Odisha,2025,96743.73,263.03,14.22,59.62,156.82,78.49,66.17,35.52,367.8,93.5
Crop Insurance Scheme,Agriculture,Odisha,2026,109960.15,147.02,37.34,56.85,83.58,87.51,52.45,39.78,747.93,47.52
Crop Insurance Scheme,Agriculture,Assam,2022,61670.9,192.34,15.94,68.24,131.25,75.78,89.8,76.99,320.63,89.56
Crop Insurance Scheme,Agriculture,Assam,2023,58217.49,310.91,71.31,52.1,161.98,76.14,96.88,81.88,187.25,84.39
Crop Insurance Scheme,Agriculture,Assam,2024,77743.06,62.08,52.18,91.18,56.6,96.11,87.27,71.35,1252.3,51.61
Crop Insurance Scheme,Agriculture,Assam,2025,72033.65,298.26,22.92,79.44,236.94,56.34,63.7,76.11,241.51,188.23
Crop Insurance Scheme,Agriculture,Assam,2026,98420.13,456.32,38.7,75.47,344.38,61.29,62.01,61.94,215.68,259.9
Crop Insurance Scheme,Agriculture,Telangana,2022,96555.47,80.69,34.14,52.47,42.34,60.92,77.62,71.53,1196.62,22.22
Crop Insurance Scheme,Agriculture,Telangana,2023,69778.71,22.32,53.55,58.56,13.07,75.63,48.35,54.83,3126.29,7.65
Crop Insurance Scheme,Agriculture,Telangana,2024,113288.0,261.74,29.07,59.52,155.79,40.32,81.71,70.66,432.83,92.73
Crop Insurance Scheme,Agriculture,Telangana,2025,116143.68,306.96,15.43,95.46,293.02,49.28,33.76,59.87,378.37,279.72
Crop Insurance Scheme,Agriculture,Telangana,2026,77646.55,339.31,30.76,98.15,333.03,43.74,98.26,71.88,228.84,326.87
Crop Insurance Scheme,Agriculture,Andhra Pradesh,2022,80271.1,476.8,11.3,78.8,375.72,50.14,45.78,62.81,168.35,296.07
Crop Insurance Scheme,Agriculture,Andhra Pradesh,2023,92763.86,343.86,11.66,71.87,247.13,59.82,62.07,82.54,269.77,177.61
Crop Insurance Scheme,Agriculture,Andhra Pradesh,2024,63685.48,253.87,51.25,84.75,215.15,63.28,41.46,96.15,250.86,182.34
Crop Insurance Scheme,Agriculture,Andhra Pradesh,2025,65065.87,327.23,74.24,62.1,203.21,83.59,60.97,22.9,198.84,126.19
Crop Insurance Scheme,Agriculture,Andhra Pradesh,2026,88035.42,243.74,44.74,84.62,206.25,82.66,64.85,58.3,361.19,174.53
Krishionnati Yojana,Agriculture,Karnataka,2022,96445.74,66.33,4.8,53.18,35.27,83.06,89.31,72.88,1454.03,18.76
Krishionnati Yojana,Agriculture,Karnataka,2023,62250.84,458.48,47.6,61.55,282.19,72.23,47.44,39.62,135.78,173.69
Krishionnati Yojana,Agriculture,Karnataka,2024,63050.79,485.52,64.03,65.32,317.14,54.05,30.29,40.57,129.86,207.16
Krishionnati Yojana,Agriculture,Karnataka,2025,114818.35,485.61,5.4,75.7,367.61,58.08,86.25,76.19,236.44,278.28
Krishionnati Yojana,Agriculture,Karnataka,2026,101822.01,48.64,55.34,76.01,36.97,85.99,57.75,49.42,2093.38,28.1
Krishionnati Yojana,Agriculture,Maharashtra,2022,78554.75,238.36,50.64,77.79,185.42,68.16,35.17,81.46,329.56,144.24
Krishionnati Yojana,Agriculture,Maharashtra,2023,109783.36,59.41,37.63,59.85,35.56,88.67,67.06,78.8,1847.89,21.28
Krishionnati Yojana,Agriculture,Maharashtra,2024,114837.04,365.28,13.33,67.35,246.02,92.46,39.05,75.88,314.38,165.69
Krishionnati Yojana,Agriculture,Maharashtra,2025,112488.93,90.29,73.35,82.05,74.08,57.55,48.18,94.58,1245.86,60.78
Krishionnati Yojana,Agriculture,Maharashtra,2026,111485.07,18.93,3.1,92.55,17.52,44.48,58.77,78.32,5889.33,16.21
Krishionnati Yojana,Agriculture,Tamil Nadu,2022,99210.04,175.92,6.37,83.45,146.81,85.42,99.25,93.05,563.95,122.51
Krishionnati Yojana,Agriculture,Tamil Nadu,2023,115159.52,312.29,42.99,78.07,243.8,58.86,64.86,71.42,368.76,190.33
Krishionnati Yojana,Agriculture,Tamil Nadu,2024,116008.37,471.06,10.23,88.89,418.73,85.44,61.83,25.76,246.27,372.21
Krishionnati Yojana,Agriculture,Tamil Nadu,2025,87063.34,434.19,35.1,61.73,268.03,62.58,52.56,80.65,200.52,165.45
Krishionnati Yojana,Agriculture,Tamil Nadu,2026,90940.38,474.79,55.2,77.51,368.01,71.84,31.36,62.22,191.54,285.24
Krishionnati Yojana,Agriculture,Kerala,2022,85076.84,72.42,38.24,71.43,51.73,96.08,98.94,77.82,1174.77,36.95
Krishionnati Yojana,Agriculture,Kerala,2023,65306.57,439.51,7.61,62.39,274.21,45.75,97.4,66.73,148.59,171.08
Krishionnati Yojana,Agriculture,Kerala,2024,75267.7,77.08,78.48,71.85,55.38,44.58,94.06,89.93,976.49,39.79
Krishionnati Yojana,Agriculture,Kerala,2025,104389.9,444.63,30.4,71.27,316.89,87.48,32.44,89.06,234.78,225.85
Krishionnati Yojana,Agriculture,Kerala,2026,71650.26,236.24,43.73,72.85,172.1,52.18,91.06,33.48,303.29,125.37
Krishionnati Yojana,Agriculture,Uttar Pradesh,2022,111539.32,157.29,23.22,64.16,100.92,63.42,87.55,53.44,709.13,64.75
Krishionnati Yojana,Agriculture,Uttar Pradesh,2023,103142.7,229.95,9.29,64.5,148.32,75.8,90.1,37.75,448.54,95.67
Krishionnati Yojana,Agriculture,Uttar Pradesh,2024,84864.03,408.78,23.1,88.49,361.73,85.27,80.82,38.89,207.6,320.09
Krishionnati Yojana,Agriculture,Uttar Pradesh,2025,118148.92,226.64,-4.99,51.99,117.83,57.01,97.86,90.02,521.31,61.26
Krishionnati Yojana,Agriculture,Uttar Pradesh,2026,84084.32,423.16,55.02,94.24,398.79,43.73,83.56,86.39,198.71,375.82
Krishionnati Yojana,Agriculture,Bihar,2022,59131.96,280.54,6.06,58.9,165.24,85.53,89.78,93.37,210.78,97.33
Krishionnati Yojana,Agriculture,Bihar,2023,109870.64,13.15,74.13,62.11,8.17,94.89,76.81,95.76,8355.18,5.07
Krishionnati Yojana,Agriculture,Bihar,2024,105744.14,268.06,27.28,84.69,227.02,90.62,36.58,87.6,394.48,192.26
Krishionnati Yojana,Agriculture,Bihar,2025,118585.5,306.62,14.13,81.75,250.66,74.83,54.02,60.32,386.75,204.91
Krishionnati Yojana,Agriculture,Bihar,2026,58933.94,99.06,13.01,64.61,64.0,50.32,31.32,87.85,594.93,41.35
Krishionnati Yojana,Agriculture,Rajasthan,2022,77260.55,253.55,83.18,76.86,194.88,81.73,88.6,84.2,304.72,149.78
Krishionnati Yojana,Agriculture,Rajasthan,2023,105613.22,403.23,37.46,66.27,267.22,44.39,44.33,73.71,261.92,177.09
Krishionnati Yojana,Agriculture,Rajasthan,2024,59185.73,155.65,81.06,83.02,129.22,42.06,89.57,76.49,380.25,107.28
Krishionnati Yojana,Agriculture,Rajasthan,2025,114075.19,410.8,80.01,73.89,303.54,52.86,89.83,29.63,277.69,224.29
Krishionnati Yojana,Agriculture,Rajasthan,2026,92068.24,194.52,4.34,59.51,115.76,42.56,66.77,86.35,473.31,68.89
Krishionnati Yojana,Agriculture,Gujarat,2022,110908.73,390.05,78.23,60.06,234.26,54.96,50.03,72.71,284.34,140.7
Krishionnati Yojana,Agriculture,Gujarat,2023,99801.77,296.43,-4.54,77.97,231.13,65.23,35.73,46.1,336.68,180.21
Krishionnati Yojana,Agriculture,Gujarat,2024,82136.13,485.82,74.97,78.73,382.49,60.17,51.73,57.4,169.07,301.13
Krishionnati Yojana,Agriculture,Gujarat,2025,105385.93,252.27,8.73,87.02,219.53,50.5,36.48,54.56,417.75,191.04
Krishionnati Yojana,Agriculture,Gujarat,2026,63190.95,111.4,61.05,85.14,94.85,88.4,93.49,99.3,567.24,80.76
Krishionnati Yojana,Agriculture,Punjab,2022,95504.43,464.25,4.08,65.5,304.08,61.23,82.57,65.68,205.72,199.17
Krishionnati Yojana,Agriculture,Punjab,2023,76933.16,92.66,37.92,92.74,85.93,42.29,50.11,51.14,830.27,79.69
Krishionnati Yojana,Agriculture,Punjab,2024,98408.12,274.81,27.17,54.26,149.11,55.06,35.06,37.39,358.1,80.91
Krishionnati Yojana,Agriculture,Punjab,2025,90882.69,451.3,80.37,84.39,380.85,66.66,33.13,42.72,201.38,321.4
Krishionnati Yojana,Agriculture,Punjab,2026,112726.45,277.81,19.52,59.02,163.96,51.04,85.49,94.76,405.77,96.77
Krishionnati Yojana,Agriculture,West Bengal,2022,86280.91,211.01,-3.26,96.1,202.78,64.1,64.96,98.67,408.89,194.87
Krishionnati Yojana,Agriculture,West Bengal,2023,75461.87,360.89,12.76,56.72,204.7,76.53,78.58,49.69,209.1,116.11
